% -----------------------------------------------------------------------------
% MACRO       UNICODE CHARACTER      UNICODE HEX VALUE
% -----------------------------------------------------------------------------
% =============================================================================
% LETTERS (SETS: BASE,FULL)

\AA                   Å              C5
\lesseqgtr          ⋚             22DA
\gtreqless          ⋛             22DB
\curlyeqprec        ⋞             22DE
\curlyeqsucc        ⋟             22DF
\lnsim              ⋦             22E6
\gnsim              ⋧             22E7
\precnsim           ⋨             22E8
\succnsim           ⋩             22E9
\ntriangleleft      ⋪             22EA
\ntriangleright     ⋫             22EB
\ntrianglelefteq    ⋬             22EC
\ntrianglerighteq   ⋭             22ED
\vdots              ⋮             22EE
\cdots              ⋯             22EF
\ddots              ⋱             22F1
\lceil              ⌈             2308
\rceil              ⌉             2309
\lfloor             ⌊             230A
\rfloor             ⌋             230B
\Box                □             25A1
\spadesuit          ♠             2660
\heartsuit          ♡             2661
\diamondsuit        ♢             2662
\clubsuit           ♣             2663
\flat               ♭             266D
\natural            ♮             266E
\sharp              ♯             266F
\tone5              ˥              2E5
\tone4              ˦              2E6
\tone3              ˧              2E7
\tone2              ˨              2E8
\tone1              ˩              2E9

% =============================================================================
% NEGATEDSYMBOLS (SETS: FULL)

\asymp        ≭             226D
\lesssim      ≴             2274
\gtrsim       ≵             2275
\subset       ⊄             2284
\supset       ⊅             2285
\ni           ∌             220C
\simeq        ≄             2244
\approx       ≉             2249
\equiv        ≢             2262
\preccurlyeq  ⋠             22E0
\succcurlyeq  ⋡             22E1
\sqsubseteq   ⋢             22E2
\sqsupseteq   ⋣             22E3

% =============================================================================
% SUPERSCRIPTS (SETS: FULL)

\0     ⁰             2070
\i     ⁱ             2071
\4     ⁴             2074
\5     ⁵             2075
\6     ⁶             2076
\7     ⁷             2077
\8     ⁸             2078
\9     ⁹             2079
\+     ⁺             207A
\-     ⁻             207B
\=     ⁼             207C
\(     ⁽             207D
\)     ⁾             207E
\n     ⁿ             207F
\SM    ℠             2120
\h     ʰ              2B0
\j     ʲ              2B2
\r     ʳ              2B3
\w     ʷ              2B7
\y     ʸ              2B8

% =============================================================================
% CMDSUPERSCRIPTS (SETS: FULL)

\texthth         ʱ              2B1
\textturnr       ʴ              2B4
\textturnrrtail  ʵ              2B5
\textinvscr      ʶ              2B6

% =============================================================================
% DINGS (SETS: FULL)

\21    ✁             2701
\22    ✂             2702
\23    ✃             2703
\24    ✄             2704
\25    ☎             260E
\26    ✆             2706
\27    ✇             2707
\28    ✈             2708
\29    ✉             2709
\2A    ☛             261B
\2B    ☞             261E
\2C    ✌             270C
\2D    ✍             270D
\2E    ✎             270E
\2F    ✏             270F
\30    ✐             2710
\31    ✑             2711
\32    ✒             2712
\33    ✓             2713
\34    ✔             2714
\35    ✕             2715
\36    ✖             2716
\37    ✗             2717
\38    ✘             2718
\39    ✙             2719
